algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
quick_sort,10,aleatorio,D1,c,15,2000,6.505e-05,40,5283840,1
patience_sort,10,aleatorio,D1,c,1,2000,0.0001679,352,5283840,1
patience_sort,10,aleatorio,D1,c,2,2000,0.0001663,352,5283840,1
patience_sort,10,aleatorio,D1,c,3,2000,0.0001717,352,5283840,1
patience_sort,10,aleatorio,D1,c,4,2000,0.0001672,352,5283840,1
patience_sort,10,aleatorio,D1,c,5,2000,0.000167,352,5283840,1
patience_sort,10,aleatorio,D1,c,6,2000,0.0001675,352,5283840,1
patience_sort,10,aleatorio,D1,c,7,2000,0.0001666,352,5283840,1
patience_sort,10,aleatorio,D1,c,8,2000,0.0001686,352,5283840,1
patience_sort,10,aleatorio,D1,c,9,2000,0.00016815,352,5283840,1
patience_sort,10,aleatorio,D1,c,10,2000,0.00017655,352,5283840,1
patience_sort,10,aleatorio,D1,c,11,2000,0.0001672,352,5283840,1
patience_sort,10,aleatorio,D1,c,12,2000,0.00016675,352,5283840,1
patience_sort,10,aleatorio,D1,c,13,2000,0.00016655,352,5283840,1
patience_sort,10,aleatorio,D1,c,14,2000,0.00016665,352,5283840,1
patience_sort,10,aleatorio,D1,c,15,2000,0.000169,352,5283840,1
std_sort,10,aleatorio,D7,a,1,2000,3.465e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,2,2000,3.445e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,3,2000,3.705e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,4,2000,3.435e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,5,2000,3.44e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,6,2000,3.445e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,7,2000,3.455e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,8,2000,3.435e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,9,2000,3.41e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,10,2000,3.435e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,11,2000,3.445e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,12,2000,3.445e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,13,2000,3.435e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,14,2000,3.445e-05,40,5283840,1
std_sort,10,aleatorio,D7,a,15,2000,3.45e-05,40,5283840,1
merge_sort,10,aleatorio,D7,a,1,2000,8.955e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,2,2000,8.785e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,3,2000,8.805e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,4,2000,8.76e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,5,2000,8.74e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,6,2000,8.79e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,7,2000,8.805e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,8,2000,8.9e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,9,2000,8.74e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,10,2000,8.81e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,11,2000,8.775e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,12,2000,8.74e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,13,2000,8.76e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,14,2000,8.835e-05,80,5283840,1
merge_sort,10,aleatorio,D7,a,15,2000,8.795e-05,80,5283840,1
quick_sort,10,aleatorio,D7,a,1,2000,5.995e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,2,2000,5.97e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,3,2000,5.98e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,4,2000,5.99e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,5,2000,5.95e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,6,2000,5.98e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,7,2000,6.23e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,8,2000,5.935e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,9,2000,5.965e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,10,2000,5.955e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,11,2000,6.015e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,12,2000,5.96e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,13,2000,5.995e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,14,2000,5.975e-05,40,5283840,1
quick_sort,10,aleatorio,D7,a,15,2000,5.955e-05,40,5283840,1
patience_sort,10,aleatorio,D7,a,1,2000,0.0001879,376,5283840,1
patience_sort,10,aleatorio,D7,a,2,2000,0.00018545,376,5283840,1
patience_sort,10,aleatorio,D7,a,3,2000,0.0001844,376,5283840,1
