algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,16,densa,D10,b,6,200,0.0012285,2048,5132288,64,1
naive,16,densa,D10,b,7,200,0.0012285,2048,5132288,64,1
naive,16,densa,D10,b,8,200,0.0012275,2048,5132288,64,1
naive,16,densa,D10,b,9,200,0.001253,2048,5132288,64,1
naive,16,densa,D10,b,10,200,0.001231,2048,5132288,64,1
naive,16,densa,D10,b,11,200,0.001232,2048,5132288,64,1
naive,16,densa,D10,b,12,200,0.0012315,2048,5132288,64,1
naive,16,densa,D10,b,13,200,0.001232,2048,5132288,64,1
naive,16,densa,D10,b,14,200,0.001231,2048,5132288,64,1
naive,16,densa,D10,b,15,200,0.001231,2048,5132288,64,1
strassen,16,densa,D10,b,1,200,0.001237,2048,5132288,64,1
strassen,16,densa,D10,b,2,200,0.0012525,2048,5132288,64,1
strassen,16,densa,D10,b,3,200,0.0012385,2048,5132288,64,1
strassen,16,densa,D10,b,4,200,0.0012355,2048,5132288,64,1
strassen,16,densa,D10,b,5,200,0.001237,2048,5132288,64,1
strassen,16,densa,D10,b,6,200,0.001532,2048,5132288,64,1
strassen,16,densa,D10,b,7,200,0.0012365,2048,5132288,64,1
strassen,16,densa,D10,b,8,200,0.00124,2048,5132288,64,1
strassen,16,densa,D10,b,9,200,0.0012475,2048,5132288,64,1
strassen,16,densa,D10,b,10,200,0.001237,2048,5132288,64,1
strassen,16,densa,D10,b,11,200,0.0012365,2048,5132288,64,1
strassen,16,densa,D10,b,12,200,0.001237,2048,5132288,64,1
strassen,16,densa,D10,b,13,200,0.0012385,2048,5132288,64,1
strassen,16,densa,D10,b,14,200,0.001387,2048,5132288,64,1
strassen,16,densa,D10,b,15,200,0.001241,2048,5132288,64,1
naive,16,densa,D10,c,1,200,0.001232,2048,5132288,64,1
naive,16,densa,D10,c,2,200,0.001233,2048,5132288,64,1
naive,16,densa,D10,c,3,200,0.001231,2048,5132288,64,1
naive,16,densa,D10,c,4,200,0.00123,2048,5132288,64,1
naive,16,densa,D10,c,5,200,0.00123,2048,5132288,64,1
naive,16,densa,D10,c,6,200,0.001231,2048,5132288,64,1
naive,16,densa,D10,c,7,200,0.0012515,2048,5132288,64,1
naive,16,densa,D10,c,8,200,0.0012315,2048,5132288,64,1
